id,spanish,example_es,example_en,mood,tense
155,el aniversario,Celebramos nuestro décimo aniversario de bodas.,We celebrated our tenth wedding anniversary.,,
156,doblar,Yo doblaría antes para evitar el tráfico.,I would turn earlier to avoid traffic.,Condicional,Condicional
157,permitir,Yo permitiría más flexibilidad en el horario.,I would allow more flexibility in the schedule.,Condicional,Condicional
158,ancho,El río es muy ancho en esta parte.,The river is very wide in this part.,,
159,profesional,Ella siempre se comporta de manera muy profesional.,She always behaves in a very professional manner.,,
160,aburrir,Eso aburriría a cualquiera.,That would bore anyone.,Condicional,Condicional
161,mantener,Tú mantendrías la misma opinión si supieras todo.,You would maintain the same opinion if you knew everything.,Condicional,Condicional
162,el peso,Perdió mucho peso después de la dieta.,He lost a lot of weight after the diet.,,
163,la edad,No sé la edad exacta de mi abuelo.,I don't know my grandfather's exact age.,,
164,revisar,Yo revisaría el texto una vez más antes de publicarlo.,I would review the text one more time before publishing it.,Condicional,Condicional
165,pronto,Espero verte pronto.,I hope to see you soon.,,
166,el tema,El tema de la reunión era el presupuesto anual.,The topic of the meeting was the annual budget.,,
167,preocupado,Estoy preocupado por el examen de mañana.,I'm worried about tomorrow's exam.,,
168,la ley,Esta ley protege a los trabajadores.,This law protects workers.,,
169,popular,Ese cantante es muy popular entre los jóvenes.,That singer is very popular among young people.,,
170,por fin,Por fin terminamos el proyecto.,We finally finished the project.,,
171,la talla,¿Qué talla de camisa usas?,What shirt size do you wear?,,
172,tener miedo,Tendríamos miedo en un lugar tan oscuro.,We would be afraid in such a dark place.,Condicional,Condicional
173,capaz,Ella es capaz de resolver cualquier problema.,She is capable of solving any problem.,,
174,temer,Temeríamos por su seguridad si viajara solo.,We would fear for his safety if he traveled alone.,Condicional,Condicional
175,maravilloso,Tuvimos un fin de semana maravilloso en la playa.,We had a wonderful weekend at the beach.,,
176,promover,Eso promovería una mejor comunicación.,That would promote better communication.,Condicional,Condicional
177,abrazar,Los abrazaríamos si estuvieran aquí.,We would hug them if they were here.,Condicional,Condicional
178,bello,El atardecer sobre el mar es bello.,The sunset over the sea is beautiful.,,
179,contratar,Yo contrataría a alguien con más experiencia.,I would hire someone with more experience.,Condicional,Condicional
180,enamorado,Está enamorado de su mejor amiga.,He is in love with his best friend.,,
181,el presupuesto,Tenemos que reducir el presupuesto este trimestre.,We have to cut the budget this quarter.,,
182,conservar,Eso conservaría mejor los alimentos.,That would better preserve the food.,Condicional,Condicional
183,la esperanza,Nunca perdió la esperanza de encontrar trabajo.,She never lost hope of finding a job.,,
184,coger,Tú cogerías el atajo si conocieras el camino.,You would take the shortcut if you knew the way.,Condicional,Condicional
185,jamás,Jamás había visto algo tan hermoso.,I had never seen something so beautiful.,,
186,suponer,Tú supondrías lo mismo en mi lugar.,You would assume the same in my place.,Condicional,Condicional
187,el apoyo,Agradezco mucho tu apoyo durante estos meses difíciles.,I really appreciate your support during these difficult months.,,
188,desaparecer,El sol desapareció detrás de las montañas.,The sun disappeared behind the mountains.,,
189,a tiempo,Llegamos a tiempo para el comienzo del concierto.,We arrived on time for the start of the concert.,,
190,la confianza,Necesitamos reconstruir la confianza entre nosotros.,We need to rebuild trust between us.,,
191,el conocimiento,Tiene un gran conocimiento de historia antigua.,He has great knowledge of ancient history.,,
192,el espacio,No hay suficiente espacio para todos los muebles.,There isn't enough space for all the furniture.,,
193,apoyar,Yo apoyaría esa idea si tuviera más detalles.,I would support that idea if I had more details.,Condicional,Condicional
194,pescar,Yo pescaría más si tuviera un buen bote.,I would fish more if I had a good boat.,Condicional,Condicional
195,jurar,Juraríamos que lo vimos allí.,We would swear we saw him there.,Condicional,Condicional
196,la obra,Visitamos una obra de teatro anoche.,We saw a play last night.,,
197,el edificio,Ese edificio tiene treinta pisos.,That building has thirty floors.,,
198,la huelga,Los trabajadores organizaron una huelga por mejores salarios.,The workers organized a strike for better wages.,,
199,el cielo,El cielo estaba lleno de estrellas anoche.,The sky was full of stars last night.,,
200,convertirse en,Me convertiría en otra persona si pudiera.,I would turn into another person if I could.,Condicional,Condicional
201,de acuerdo,Estoy de acuerdo contigo en ese punto.,I agree with you on that point.,,
202,negar,Nunca negaríamos la verdad.,We would never deny the truth.,Condicional,Condicional
203,fresco,Compramos pescado fresco en el mercado.,We bought fresh fish at the market.,,
204,la lucha,Su lucha contra la enfermedad inspiró a muchos.,Her fight against the illness inspired many.,,
205,precioso,Ese anillo es un recuerdo precioso de mi abuela.,That ring is a precious keepsake from my grandmother.,,
206,entrenarse,Te entrenarías más si tuvieras tiempo.,You would train more if you had time.,Condicional,Condicional
207,normal,Es normal sentir nervios antes de un examen.,It's normal to feel nervous before an exam.,,
208,el proyecto,Presentamos el proyecto final la próxima semana.,We present the final project next week.,,
209,la costa,Pasamos las vacaciones en la costa mediterránea.,We spent our vacation on the Mediterranean coast.,,
210,la capital,Madrid es la capital de España.,Madrid is the capital of Spain.,,
211,quizá,Quizá llueva esta tarde.,It might rain this afternoon.,,
212,estudioso,Mi hermana siempre fue muy estudiosa en el colegio.,My sister was always very studious in school.,,
213,el respeto,Los estudiantes deben mostrar respeto por sus profesores.,Students should show respect for their teachers.,,
214,formal,La boda fue un evento muy formal.,The wedding was a very formal event.,,
215,confiar,Yo no confiaría en esa persona.,I wouldn't trust that person.,Condicional,Condicional
216,contrario,Hicimos todo lo contrario de lo que nos dijeron.,We did the complete opposite of what we were told.,,
217,dentro de,El vuelo sale dentro de dos horas.,The flight leaves within two hours.,,
218,el hambre,El programa lucha contra el hambre en el mundo.,The program fights hunger around the world.,,
219,el negocio,Abrieron un negocio de comida rápida.,They opened a fast food business.,,
220,enfermo,Mi hijo está enfermo y no fue a la escuela.,My son is sick and didn't go to school.,,
221,el material,Esta mesa está hecha de un material muy resistente.,This table is made of a very sturdy material.,,
222,muy bien,El proyecto salió muy bien al final.,The project turned out very well in the end.,,
223,el curso,Me inscribí en un curso de fotografía.,I enrolled in a photography course.,,
224,el error,Cometí un error grave en el informe.,I made a serious mistake in the report.,,
225,anunciar,Yo anunciaría la noticia con más cuidado.,I would announce the news more carefully.,Condicional,Condicional
226,reservar,Reservaríamos con más tiempo la próxima vez.,We would reserve with more time next time.,Condicional,Condicional
227,aparecer,Eso aparecería en las noticias si fuera cierto.,That would appear in the news if it were true.,Condicional,Condicional
228,charlar,Yo charlaría contigo toda la noche.,I would chat with you all night.,Condicional,Condicional
229,el asiento,Reservé un asiento cerca de la ventana.,I reserved a seat near the window.,,
230,vivo,"Por suerte, el gato todavía está vivo.","Luckily, the cat is still alive.",,
231,el pago,El pago se debe hacer antes de fin de mes.,The payment must be made before the end of the month.,,
232,menor,Mi hermano menor tiene quince años.,My younger brother is fifteen years old.,,
233,el periodismo,Estudió periodismo porque le encanta escribir.,She studied journalism because she loves to write.,,
234,la actitud,Me gusta su actitud positiva ante los problemas.,I like her positive attitude toward problems.,,
235,batir,Yo batiría los huevos por más tiempo.,I would beat the eggs longer.,Condicional,Condicional
236,emocionado,Estoy muy emocionado por el viaje del próximo mes.,I'm very excited about next month's trip.,,
237,la regla,Hay una regla que prohíbe usar el celular en clase.,There's a rule that prohibits using the phone in class.,,
238,la herramienta,Necesito una herramienta para arreglar la bicicleta.,I need a tool to fix the bicycle.,,
239,lejos de,Vivimos lejos de la playa.,We live far from the beach.,,
240,las redes sociales,Pasa demasiado tiempo en las redes sociales.,He spends too much time on social media.,,
241,eficaz,Este medicamento es muy eficaz contra el dolor de cabeza.,This medicine is very effective against headaches.,,
242,suficiente,No tenemos suficiente dinero para el viaje.,We don't have enough money for the trip.,,
243,el acontecimiento,La boda fue el acontecimiento del año.,The wedding was the event of the year.,,
244,asegurar,Yo aseguraría el paquete con más cinta.,I would secure the package with more tape.,Condicional,Condicional
245,el éxito,El éxito de la empresa se debe a su equipo.,The company's success is due to its team.,,
246,responder,Responderíamos diferente si tuviéramos más información.,We would answer differently if we had more information.,Condicional,Condicional
247,el taller,Llevé el coche al taller para repararlo.,I took the car to the workshop to have it repaired.,,
248,la factura,Recibí la factura del gas por correo.,I received the gas invoice by mail.,,
249,mezclar,Yo mezclaría menos azúcar en la receta.,I would mix in less sugar in the recipe.,Condicional,Condicional
250,atrevido,Fue muy atrevido al hablar así con su jefe.,It was very daring of him to speak to his boss that way.,,
251,desafortunadamente,"Desafortunadamente, perdimos el vuelo.","Unfortunately, we missed the flight.",,
252,enfermarse,Nos enfermaríamos menos si durmiéramos más.,We would get sick less if we slept more.,Condicional,Condicional
253,fiel,Es un amigo muy fiel desde la infancia.,He's a very faithful friend since childhood.,,
254,diario,Hago ejercicio diario por las mañanas.,I exercise daily in the mornings.,,
255,celoso,Se pone celoso cuando hablo con otros chicos.,He gets jealous when I talk to other guys.,,
256,la amenaza,El huracán representa una amenaza para la costa.,The hurricane represents a threat to the coast.,,
257,igualmente,—Que tengas buen día. —Igualmente.,'Have a good day.' 'Likewise.',,
258,el ambiente,Debemos cuidar el ambiente para las futuras generaciones.,We must take care of the environment for future generations.,,
259,ausente,Estuvo ausente toda la semana por enfermedad.,He was absent all week due to illness.,,
260,el juguete,Le regalé un juguete nuevo a mi sobrino.,I gave my nephew a new toy.,,
261,ligero,Prefiero comer algo ligero antes de dormir.,I prefer to eat something light before sleeping.,,
262,la leyenda,Esa leyenda se cuenta desde hace siglos.,That legend has been told for centuries.,,
263,dudar,Dudaríamos de esa oferta si fuera tan buena.,We would doubt that offer if it were that good.,Condicional,Condicional
264,la señorita,La señorita García será nuestra nueva profesora.,Miss García will be our new teacher.,,
265,el recuerdo,Guardo un buen recuerdo de ese verano.,I keep a good memory of that summer.,,
266,conversar,Tú conversarías con cualquiera sin problema.,You would talk to anyone without a problem.,Condicional,Condicional
267,el comportamiento,Su comportamiento en clase mejoró mucho.,His behavior in class improved a lot.,,
268,reemplazar,Yo reemplazaría esa lámpara por una más moderna.,I would replace that lamp with a more modern one.,Condicional,Condicional
269,rápidamente,Terminó la tarea rápidamente.,He finished the homework quickly.,,
270,el fuego,Encendieron una fogata con fuego de leña.,They lit a bonfire with wood fire.,,
271,el pasado,Prefiere no hablar de su pasado.,She prefers not to talk about her past.,,
272,el juez,El juez dictó sentencia esta mañana.,The judge issued a ruling this morning.,,
273,generoso,Fue muy generoso al donar tanto dinero.,He was very generous in donating so much money.,,
274,cómico,Ese programa de televisión es muy cómico.,That TV show is very funny.,,
275,el despertador,El despertador sonó a las seis de la mañana.,The alarm clock rang at six in the morning.,,
276,el castigo,Le dieron un castigo por llegar tarde.,They gave him a punishment for arriving late.,,
277,la receta,El médico me dio una receta para el dolor.,The doctor gave me a prescription for the pain.,,
278,exigir,Yo exigiría un reembolso completo.,I would demand a full refund.,Condicional,Condicional
279,disponible,¿Hay habitaciones disponibles para esta noche?,Are there rooms available for tonight?,,
280,el significado,No conozco el significado de esa palabra.,I don't know the meaning of that word.,,
281,tratar de,Tú tratarías de ayudar si supieras cómo.,You would try to help if you knew how.,Condicional,Condicional
282,la nacionalidad,¿Cuál es tu nacionalidad?,What is your nationality?,,
283,mudarse,Te mudarías si te ofrecieran un mejor trabajo.,You would move if they offered you a better job.,Condicional,Condicional
284,enfrentar,Yo enfrentaría el problema de otra manera.,I would confront the problem differently.,Condicional,Condicional
285,robar,"Yo nunca robaría nada, ni en una emergencia.","I would never steal anything, not even in an emergency.",Condicional,Condicional
286,el compañero,Mi compañero de trabajo me ayudó con el proyecto.,My work companion helped me with the project.,,
287,soltero,Todavía está soltero a los treinta años.,He's still single at thirty.,,
288,apenas,Apenas dormí anoche.,I barely slept last night.,,
289,la pena,Es una pena que no puedas venir a la fiesta.,It's a shame you can't come to the party.,,
290,estupendo,Hiciste un trabajo estupendo en el proyecto.,You did a great job on the project.,,
291,claro,Sus instrucciones fueron muy claras.,His instructions were very clear.,,
292,despedir,Yo no despediría a nadie sin una buena razón.,I wouldn't fire anyone without a good reason.,Condicional,Condicional
293,el camino,Tomamos el camino más corto a casa.,We took the shortest road home.,,
294,el grado,La temperatura bajó diez grados esta noche.,The temperature dropped ten degrees tonight.,,
295,genial,Fue una fiesta genial.,It was a great party.,,
296,ir a,Yo iría a esa reunión si tuviera tiempo.,I would go to that meeting if I had time.,Condicional,Condicional
297,muchas gracias,Muchas gracias por tu ayuda con la mudanza.,Thank you very much for your help with the move.,,
298,fascinar,Eso me fascinaría muchísimo.,That would fascinate me a lot.,Condicional,Condicional
299,respetar,Yo respetaría su privacidad.,I would respect his privacy.,Condicional,Condicional
300,quitarse,Te quitarías el sombrero si te lo pidieran.,You would take off your hat if they asked you to.,Condicional,Condicional
301,la paz,Solo queremos vivir en paz.,We just want to live in peace.,,
302,el hecho,El hecho es que nadie llamó a tiempo.,The fact is that no one called on time.,,
303,interesar,Eso nos interesaría mucho a todos.,That would interest all of us a lot.,Condicional,Condicional
304,cobrar,Yo cobraría más por ese trabajo tan difícil.,I would charge more for such difficult work.,Condicional,Condicional
305,igual,Todos los empleados reciben un trato igual.,All employees receive equal treatment.,,
306,buenas tardes,"Buenas tardes, ¿en qué puedo ayudarle?","Good afternoon, how can I help you?",,
307,vago,Es demasiado vago para lavar los platos.,He's too lazy to wash the dishes.,,
308,la clave,La paciencia es la clave del éxito.,Patience is the key to success.,,
309,hermoso,El jardín se ve hermoso en primavera.,The garden looks beautiful in spring.,,
310,probarse,Nos probaríamos los zapatos antes de decidir la talla.,We would try on the shoes before deciding the size.,Condicional,Condicional
311,por supuesto,—¿Puedes ayudarme? —Por supuesto.,'Can you help me?' 'Of course.',,
312,el oso,Vimos un oso desde lejos en el bosque.,We saw a bear from a distance in the forest.,,
313,la sangre,El médico le sacó sangre para los análisis.,The doctor drew his blood for the tests.,,
314,utilizar,Yo utilizaría otro método para resolverlo.,I would use another method to solve it.,Condicional,Condicional
315,flexible,Mi horario de trabajo es bastante flexible.,My work schedule is quite flexible.,,
316,el enlace,Haz clic en el enlace para más información.,Click the link for more information.,,
317,medir,Tú medirías mejor con una cinta métrica.,You would measure better with a tape measure.,Condicional,Condicional
318,elegir,Yo elegiría la opción más barata.,I would choose the cheapest option.,Condicional,Condicional
