id,spanish,english ,other_common_meanings,common_definitions
129,apreciar,to appreciate,,General meaning: to appreciate | Usage note: 'apreciar' commonly refers to to appreciate in everyday conversation.
130,comprensivo,understanding,,General meaning: understanding | Usage note: 'comprensivo' commonly refers to understanding in everyday conversation.
131,el pariente,relative,,General meaning: relative | Usage note: 'el pariente' commonly refers to relative in everyday conversation.
132,alegrarse,to be happy,,General meaning: to be happy | Usage note: 'alegrarse' commonly refers to to be happy in everyday conversation.
133,el informe,report,,General meaning: report | Alternate Spanish term: el reportaje | Usage note: 'el informe' commonly refers to report in everyday conversation.
134,la administración de empresas,business administration,,General meaning: business administration | Usage note: 'la administración de empresas' commonly refers to business administration in everyday conversation.
135,obedecer,to obey,,General meaning: to obey | Usage note: 'obedecer' commonly refers to to obey in everyday conversation.
136,la soledad,loneliness,,General meaning: loneliness | Usage note: 'la soledad' commonly refers to loneliness in everyday conversation.
137,agradable,nice,,General meaning: nice | Usage note: 'agradable' commonly refers to nice in everyday conversation.
138,el movimiento,movement,,General meaning: movement | Usage note: 'el movimiento' commonly refers to movement in everyday conversation.
139,sembrar,to plant,,General meaning: to plant | Usage note: 'sembrar' commonly refers to to plant in everyday conversation.
140,derramar,to spill,,General meaning: to spill | Usage note: 'derramar' commonly refers to to spill in everyday conversation.
141,el argumento,argument,,General meaning: argument | Usage note: 'el argumento' commonly refers to argument in everyday conversation.
142,el comercio,trade,,General meaning: trade | Usage note: 'el comercio' commonly refers to trade in everyday conversation.
143,tener hambre,to be hungry,,General meaning: to be hungry | Usage note: 'tener hambre' commonly refers to to be hungry in everyday conversation.
144,la química,chemistry,,General meaning: chemistry | Usage note: 'la química' commonly refers to chemistry in everyday conversation.
145,la ventanilla,window,,General meaning: window | Usage note: 'la ventanilla' commonly refers to window in everyday conversation.
146,interpretar,to interpret,,General meaning: to interpret | Usage note: 'interpretar' commonly refers to to interpret in everyday conversation.
147,la Tierra,Earth,,General meaning: Earth | Usage note: 'la Tierra' commonly refers to Earth in everyday conversation.
148,el alquiler,rent,,General meaning: rent | Usage note: 'el alquiler' commonly refers to rent in everyday conversation.
149,prevenir,to prevent,,General meaning: to prevent | Usage note: 'prevenir' commonly refers to to prevent in everyday conversation.
150,duro,hard,,General meaning: hard | Usage note: 'duro' commonly refers to hard in everyday conversation.
151,el compañero de clase,classmate,,General meaning: classmate | Usage note: 'el compañero de clase' commonly refers to classmate in everyday conversation.
152,el racismo,racism,,General meaning: racism | Usage note: 'el racismo' commonly refers to racism in everyday conversation.
153,la razón,reason,,General meaning: reason | Usage note: 'la razón' commonly refers to reason in everyday conversation.
154,el accidente,accident,,General meaning: accident | Usage note: 'el accidente' commonly refers to accident in everyday conversation.
155,el aniversario,anniversary,,General meaning: anniversary | Usage note: 'el aniversario' commonly refers to anniversary in everyday conversation.
156,doblar,to turn,,General meaning: to turn | Usage note: 'doblar' commonly refers to to turn in everyday conversation.
157,permitir,to allow,,General meaning: to allow | Usage note: 'permitir' commonly refers to to allow in everyday conversation.
158,ancho,wide,,General meaning: wide | Usage note: 'ancho' commonly refers to wide in everyday conversation.
159,profesional,professional,,General meaning: professional | Usage note: 'profesional' commonly refers to professional in everyday conversation.
160,aburrir,to bore,,General meaning: to bore | Usage note: 'aburrir' commonly refers to to bore in everyday conversation.
161,mantener,to hold,,General meaning: to hold | Usage note: 'mantener' commonly refers to to hold in everyday conversation.
162,el peso,weight,,General meaning: weight | Usage note: 'el peso' commonly refers to weight in everyday conversation.
163,la edad,age,,General meaning: age | Usage note: 'la edad' commonly refers to age in everyday conversation.
164,revisar,to review,,General meaning: to review | Usage note: 'revisar' commonly refers to to review in everyday conversation.
165,pronto,soon,,General meaning: soon | Usage note: 'pronto' commonly refers to soon in everyday conversation.
166,el tema,subject,,General meaning: subject | Alternate Spanish term: la asignatura | Usage note: 'el tema' commonly refers to subject in everyday conversation.
167,preocupado,worried,,General meaning: worried | Usage note: 'preocupado' commonly refers to worried in everyday conversation.
168,la ley,law,,General meaning: law | Usage note: 'la ley' commonly refers to law in everyday conversation.
169,popular,popular,,General meaning: popular | Usage note: 'popular' commonly refers to popular in everyday conversation.
170,por fin,finally,,General meaning: finally | Alternate Spanish term: por último | Usage note: 'por fin' commonly refers to finally in everyday conversation.
171,la talla,size,,General meaning: size | Usage note: 'la talla' commonly refers to size in everyday conversation.
172,tener miedo,to be afraid,,General meaning: to be afraid | Usage note: 'tener miedo' commonly refers to to be afraid in everyday conversation.
173,capaz,able,,General meaning: able | Usage note: 'capaz' commonly refers to able in everyday conversation.
174,temer,to fear,,General meaning: to fear | Usage note: 'temer' commonly refers to to fear in everyday conversation.
175,maravilloso,wonderful,,General meaning: wonderful | Usage note: 'maravilloso' commonly refers to wonderful in everyday conversation.
176,promover,to promote,,General meaning: to promote | Usage note: 'promover' commonly refers to to promote in everyday conversation.
177,abrazar,to hug,,General meaning: to hug | Usage note: 'abrazar' commonly refers to to hug in everyday conversation.
178,bello,beautiful,,General meaning: beautiful | Alternate Spanish term: hermoso | Usage note: 'bello' commonly refers to beautiful in everyday conversation.
179,contratar,to hire,,General meaning: to hire | Usage note: 'contratar' commonly refers to to hire in everyday conversation.
180,enamorado,in love,,General meaning: in love | Usage note: 'enamorado' commonly refers to in love in everyday conversation.
181,el presupuesto,budget,,General meaning: budget | Usage note: 'el presupuesto' commonly refers to budget in everyday conversation.
182,conservar,to maintain,,General meaning: to maintain | Usage note: 'conversar' commonly refers to to maintain in everyday conversation.
183,la esperanza,hope,,General meaning: hope | Usage note: 'la esperanza' commonly refers to hope in everyday conversation.
184,coger,to take,,General meaning: to take | Usage note: 'coger' commonly refers to to take in everyday conversation.
185,jamás,never,,General meaning: never | Usage note: 'jamás' commonly refers to never in everyday conversation.
186,suponer,to suppose,,General meaning: to suppose | Usage note: 'suponer' commonly refers to to suppose in everyday conversation.
187,el apoyo,support,,General meaning: support | Usage note: 'el apoyo' commonly refers to support in everyday conversation.
188,desaparecer,disappear,,General meaning: disappear | Usage note: 'desaparecer' commonly refers to disappear in everyday conversation.
189,a tiempo,on time,,General meaning: on time | Usage note: 'a tiempo' commonly refers to on time in everyday conversation.
190,la confianza,trust,,General meaning: trust | Usage note: 'la confianza' commonly refers to trust in everyday conversation.
191,el conocimiento,knowledge,,General meaning: knowledge | Usage note: 'el conocimiento' commonly refers to knowledge in everyday conversation.
192,el espacio,space,,General meaning: space | Usage note: 'el espacio' commonly refers to space in everyday conversation.
193,apoyar,to support,,General meaning: to support | Usage note: 'apoyar' commonly refers to to support in everyday conversation.
194,pescar,to fish,,General meaning: to fish | Usage note: 'pescar' commonly refers to to fish in everyday conversation.
195,jurar,to swear,,General meaning: to swear | Usage note: 'jurar' commonly refers to to swear in everyday conversation.
196,la obra,work,,General meaning: work | Usage note: 'la obra' commonly refers to work in everyday conversation.
197,el edificio,building,,General meaning: building | Usage note: 'el edificio' commonly refers to building in everyday conversation.
198,la huelga,strike,,General meaning: strike | Usage note: 'la huelga' commonly refers to strike in everyday conversation.
199,el cielo,sky,,General meaning: sky | Usage note: 'el cielo' commonly refers to sky in everyday conversation.
200,convertirse en,to turn into,,General meaning: to turn into | Usage note: 'convertirse en' commonly refers to to turn into in everyday conversation.
201,de acuerdo,okay,,General meaning: okay | Usage note: 'de acuerdo' commonly refers to okay in everyday conversation.
202,negar,to deny,,General meaning: to deny | Usage note: 'negar' commonly refers to to deny in everyday conversation.
203,fresco,fresh,,General meaning: fresh | Usage note: 'fresco' commonly refers to fresh in everyday conversation.
204,la lucha,fight,,General meaning: fight | Usage note: 'la lucha' commonly refers to fight in everyday conversation.
205,precioso,precious,,General meaning: precious | Usage note: 'precioso' commonly refers to precious in everyday conversation.
206,entrenarse,to train,,General meaning: to train | Usage note: 'entrenarse' commonly refers to to train in everyday conversation.
207,normal,normal,,General meaning: normal | Usage note: 'normal' commonly refers to normal in everyday conversation.
208,el proyecto,project,,General meaning: project | Usage note: 'el proyecto' commonly refers to project in everyday conversation.
209,la costa,coast,,General meaning: coast | Usage note: 'la costa' commonly refers to coast in everyday conversation.
210,la capital,capital,,General meaning: capital | Usage note: 'la capital' commonly refers to capital in everyday conversation.
211,quizá,maybe,,General meaning: maybe | Usage note: 'quizá' commonly refers to maybe in everyday conversation.
212,estudioso,studious,,General meaning: studious | Usage note: 'estudioso' commonly refers to studious in everyday conversation.
213,el respeto,respect,,General meaning: respect | Usage note: 'el respeto' commonly refers to respect in everyday conversation.
214,formal,formal,,General meaning: formal | Usage note: 'formal' commonly refers to formal in everyday conversation.
215,confiar,to confide,,General meaning: to confide | Usage note: 'confiar' commonly refers to to confide in everyday conversation.
216,contrario,opposite,,General meaning: opposite | Usage note: 'contrario' commonly refers to opposite in everyday conversation.
217,dentro de,inside,,General meaning: inside | Usage note: 'dentro de' commonly refers to inside in everyday conversation.
218,el hambre,hunger,,General meaning: hunger | Usage note: 'el hambre' commonly refers to hunger in everyday conversation.
219,el negocio,business,,General meaning: business | Usage note: 'el negocio' commonly refers to business in everyday conversation.
220,enfermo,sick,,General meaning: sick | Usage note: 'enfermo' commonly refers to sick in everyday conversation.
221,el material,material,,General meaning: material | Usage note: 'el material' commonly refers to material in everyday conversation.
222,muy bien,very good,,General meaning: very good | Usage note: 'muy bien' commonly refers to very good in everyday conversation.
223,el curso,course,,General meaning: course | Usage note: 'el curso' commonly refers to course in everyday conversation.
224,el error,mistake,,General meaning: mistake | Usage note: 'el error' commonly refers to mistake in everyday conversation.
225,anunciar,to announce,,General meaning: to announce | Usage note: 'anunciar' commonly refers to to announce in everyday conversation.
226,reservar,to reserve,,General meaning: to reserve | Usage note: 'reservar' commonly refers to to reserve in everyday conversation.
227,aparecer,to appear,,General meaning: to appear | Usage note: 'aparecer' commonly refers to to appear in everyday conversation.
228,charlar,to chat,,General meaning: to chat | Usage note: 'charlar' commonly refers to to chat in everyday conversation.
229,el asiento,seat,,General meaning: seat | Usage note: 'el asiento' commonly refers to seat in everyday conversation.
230,vivo,alive,,General meaning: alive | Usage note: 'vivo' commonly refers to alive in everyday conversation.
231,el pago,payment,,General meaning: payment | Usage note: 'el pago' commonly refers to payment in everyday conversation.
232,menor,young,,General meaning: young | Usage note: 'menor' commonly refers to young in everyday conversation.
233,el periodismo,journalism,,General meaning: journalism | Usage note: 'el periodismo' commonly refers to journalism in everyday conversation.
234,la actitud,attitude,,General meaning: attitude | Usage note: 'la actitud' commonly refers to attitude in everyday conversation.
235,batir,to beat,,General meaning: to beat | Usage note: 'batir' commonly refers to to beat in everyday conversation.
236,emocionado,excited,,General meaning: excited | Usage note: 'emocionado' commonly refers to excited in everyday conversation.
237,la regla,rule,,General meaning: rule | Usage note: 'la regla' commonly refers to rule in everyday conversation.
238,la herramienta,tool,,General meaning: tool | Usage note: 'la herramienta' commonly refers to tool in everyday conversation.
239,lejos de,far from,,General meaning: far from | Usage note: 'lejos de' commonly refers to far from in everyday conversation.
240,las redes sociales,social media,,General meaning: social media | Usage note: 'las redes sociales' commonly refers to social media in everyday conversation.
241,eficaz,effective,,General meaning: effective | Usage note: 'eficaz' commonly refers to effective in everyday conversation.
242,suficiente,enough,,General meaning: enough | Usage note: 'suficiente' commonly refers to enough in everyday conversation.
243,el acontecimiento,event,,General meaning: event | Alternate Spanish term: el suceso | Usage note: 'el acontecimiento' commonly refers to event in everyday conversation.
244,asegurar,to assure,,General meaning: to assure | Usage note: 'asegurar' commonly refers to to assure in everyday conversation.
245,el éxito,success,,General meaning: success | Usage note: 'el éxito' commonly refers to success in everyday conversation.
246,responder,to answer,,General meaning: to answer | Usage note: 'responder' commonly refers to to answer in everyday conversation.
247,el taller,workshop,,General meaning: workshop | Usage note: 'el taller' commonly refers to workshop in everyday conversation.
248,la factura,invoice,,General meaning: invoice | Usage note: 'la factura' commonly refers to invoice in everyday conversation.
249,mezclar,to mix,,General meaning: to mix | Usage note: 'mezclar' commonly refers to to mix in everyday conversation.
250,atrevido,daring,,General meaning: daring | Usage note: 'atrevido' commonly refers to daring in everyday conversation.
251,desafortunadamente,unfortunately,,General meaning: unfortunately | Usage note: 'desafortunadamente' commonly refers to unfortunately in everyday conversation.
252,enfermarse,to get sick,,General meaning: to get sick | Usage note: 'enfermarse' commonly refers to to get sick in everyday conversation.
253,fiel,faithful,,General meaning: faithful | Usage note: 'fiel' commonly refers to faithful in everyday conversation.
254,diario,daily,,General meaning: daily | Usage note: 'diario' commonly refers to daily in everyday conversation.
255,celoso,jealous,,General meaning: jealous | Usage note: 'celoso' commonly refers to jealous in everyday conversation.
256,la amenaza,threat,,General meaning: threat | Usage note: 'la amenaza' commonly refers to threat in everyday conversation.
257,igualmente,likewise,,General meaning: likewise | Usage note: 'igualmente' commonly refers to likewise in everyday conversation.
258,el ambiente,environment,,General meaning: environment | Usage note: 'el ambiente' commonly refers to environment in everyday conversation.
259,ausente,absent,,General meaning: absent | Usage note: 'ausente' commonly refers to absent in everyday conversation.
260,el juguete,toy,,General meaning: toy | Usage note: 'el juguete' commonly refers to toy in everyday conversation.
261,ligero,light,,General meaning: light | Usage note: 'ligero' commonly refers to light in everyday conversation.
262,la leyenda,legend,,General meaning: legend | Usage note: 'la leyenda' commonly refers to legend in everyday conversation.
263,dudar,to doubt,,General meaning: to doubt | Usage note: 'dudar' commonly refers to to doubt in everyday conversation.
264,la señorita,miss,,General meaning: miss | Usage note: 'la señorita' commonly refers to miss in everyday conversation.
265,el recuerdo,memory,,General meaning: memory | Alternate Spanish term: la memoria | Usage note: 'el recuerdo' commonly refers to memory in everyday conversation.
266,conversar,to talk,,General meaning: to talk | Usage note: 'conversar' commonly refers to to talk in everyday conversation.
267,el comportamiento,behavior,,General meaning: behavior | Usage note: 'el comportamiento' commonly refers to behavior in everyday conversation.
268,reemplazar,to replace,,General meaning: to replace | Usage note: 'reemplazar' commonly refers to to replace in everyday conversation.
269,rápidamente,quickly,,General meaning: quickly | Usage note: 'rápidamente' commonly refers to quickly in everyday conversation.
270,el fuego,fire,,General meaning: fire | Usage note: 'el fuego' commonly refers to fire in everyday conversation.
271,el pasado,past,,General meaning: past | Usage note: 'el pasado' commonly refers to past in everyday conversation.
272,el juez,judge,,General meaning: judge | Usage note: 'el juez' commonly refers to judge in everyday conversation.
273,generoso,generous,,General meaning: generous | Usage note: 'generoso' commonly refers to generous in everyday conversation.
274,cómico,funny,,General meaning: funny | Usage note: 'cómico' commonly refers to funny in everyday conversation.
275,el despertador,alarm clock,,General meaning: alarm clock | Usage note: 'el despertador' commonly refers to alarm clock in everyday conversation.
276,el castigo,punishment,,General meaning: punishment | Usage note: 'el castigo' commonly refers to punishment in everyday conversation.
277,la receta,prescription,,General meaning: prescription | Usage note: 'la receta' commonly refers to prescription in everyday conversation.
278,exigir,to demand,,General meaning: to demand | Usage note: 'exigir' commonly refers to to demand in everyday conversation.
