id,spanish,example_es,example_en,mood,tense
150,duro,Fue un año muy duro para toda la familia.,It was a very hard year for the whole family.,,
151,el compañero de clase,Mi compañero de clase me prestó sus apuntes.,My classmate lent me his notes.,,
152,el racismo,La escuela organizó una charla sobre el racismo.,The school organized a talk about racism.,,
153,la razón,No entiendo la razón de su enojo.,I don't understand the reason for his anger.,,
154,el accidente,Hubo un accidente de tráfico en la autopista.,There was a traffic accident on the highway.,,
155,el aniversario,Celebramos nuestro décimo aniversario de bodas.,We celebrated our tenth wedding anniversary.,,
156,doblar,El camino doblaba justo antes del puente.,The road used to bend just before the bridge.,Indicativo,Imperfecto
157,permitir,La vieja regla no permitía celulares en clase.,The old rule didn't allow cell phones in class.,Indicativo,Imperfecto
158,ancho,El río es muy ancho en esta parte.,The river is very wide in this part.,,
159,profesional,Ella siempre se comporta de manera muy profesional.,She always behaves in a very professional manner.,,
160,aburrir,Esa serie me aburría después del primer capítulo.,That show used to bore me after the first episode.,Indicativo,Imperfecto
161,mantener,Él mantenía la casa muy limpia.,He used to keep the house very clean.,Indicativo,Imperfecto
162,el peso,Perdió mucho peso después de la dieta.,He lost a lot of weight after the diet.,,
163,la edad,No sé la edad exacta de mi abuelo.,I don't know my grandfather's exact age.,,
164,revisar,Ella revisaba las tareas cada noche.,She used to check the homework every night.,Indicativo,Imperfecto
165,pronto,Espero verte pronto.,I hope to see you soon.,,
166,el tema,El tema de la reunión era el presupuesto anual.,The topic of the meeting was the annual budget.,,
167,preocupado,Estoy preocupado por el examen de mañana.,I'm worried about tomorrow's exam.,,
168,la ley,Esta ley protege a los trabajadores.,This law protects workers.,,
169,popular,Ese cantante es muy popular entre los jóvenes.,That singer is very popular among young people.,,
170,por fin,Por fin terminamos el proyecto.,We finally finished the project.,,
171,la talla,¿Qué talla de camisa usas?,What shirt size do you wear?,,
172,tener miedo,"De pequeña, tenía miedo a los perros.","As a little girl, she used to be afraid of dogs.",Indicativo,Imperfecto
173,capaz,Ella es capaz de resolver cualquier problema.,She is capable of solving any problem.,,
174,temer,"De niño, temía a las tormentas.","As a kid, I used to fear storms.",Indicativo,Imperfecto
175,maravilloso,Tuvimos un fin de semana maravilloso en la playa.,We had a wonderful weekend at the beach.,,
176,promover,La escuela promovía el deporte entre los alumnos.,The school used to promote sports among students.,Indicativo,Imperfecto
177,abrazar,Él abrazaba a todos sin importar quiénes fueran.,He used to hug everyone no matter who they were.,Indicativo,Imperfecto
178,bello,El atardecer sobre el mar es bello.,The sunset over the sea is beautiful.,,
179,contratar,Mi jefe contrataba solo a gente con experiencia.,My boss used to hire only people with experience.,Indicativo,Imperfecto
180,enamorado,Está enamorado de su mejor amiga.,He is in love with his best friend.,,
181,el presupuesto,Tenemos que reducir el presupuesto este trimestre.,We have to cut the budget this quarter.,,
182,conservar,Mi abuela conservaba las cartas de mi abuelo.,My grandmother used to keep my grandfather's letters.,Indicativo,Imperfecto
183,la esperanza,Nunca perdió la esperanza de encontrar trabajo.,She never lost hope of finding a job.,,
184,coger,Él cogía el tren todos los días para ir al trabajo.,He used to take the train every day to go to work.,Indicativo,Imperfecto
185,jamás,Jamás había visto algo tan hermoso.,I had never seen something so beautiful.,,
186,suponer,Ella suponía que el vuelo llegaría a tiempo.,She used to assume the flight would arrive on time.,Indicativo,Imperfecto
187,el apoyo,Agradezco mucho tu apoyo durante estos meses difíciles.,I really appreciate your support during these difficult months.,,
188,desaparecer,El sol desapareció detrás de las montañas.,The sun disappeared behind the mountains.,,
189,a tiempo,Llegamos a tiempo para el comienzo del concierto.,We arrived on time for the start of the concert.,,
190,la confianza,Necesitamos reconstruir la confianza entre nosotros.,We need to rebuild trust between us.,,
191,el conocimiento,Tiene un gran conocimiento de historia antigua.,He has great knowledge of ancient history.,,
192,el espacio,No hay suficiente espacio para todos los muebles.,There isn't enough space for all the furniture.,,
193,apoyar,Ella apoyaba a su hermano en cada partido.,She used to support her brother at every game.,Indicativo,Imperfecto
194,pescar,Mi abuelo pescaba cada fin de semana.,My grandfather used to fish every weekend.,Indicativo,Imperfecto
195,jurar,Ella siempre juraba que volvería.,She always used to swear she would come back.,Indicativo,Imperfecto
196,la obra,Visitamos una obra de teatro anoche.,We saw a play last night.,,
197,el edificio,Ese edificio tiene treinta pisos.,That building has thirty floors.,,
198,la huelga,Los trabajadores organizaron una huelga por mejores salarios.,The workers organized a strike for better wages.,,
199,el cielo,El cielo estaba lleno de estrellas anoche.,The sky was full of stars last night.,,
200,convertirse en,Ese lugar se convertía en un mercado los domingos.,That place used to turn into a market on Sundays.,Indicativo,Imperfecto
201,de acuerdo,Estoy de acuerdo contigo en ese punto.,I agree with you on that point.,,
202,negar,Ella negaba todo cuando la acusaban.,She used to deny everything when accused.,Indicativo,Imperfecto
203,fresco,Compramos pescado fresco en el mercado.,We bought fresh fish at the market.,,
204,la lucha,Su lucha contra la enfermedad inspiró a muchos.,Her fight against the illness inspired many.,,
205,precioso,Ese anillo es un recuerdo precioso de mi abuela.,That ring is a precious keepsake from my grandmother.,,
206,entrenarse,Nos entrenábamos juntos cada mañana.,We used to train together every morning.,Indicativo,Imperfecto
207,normal,Es normal sentir nervios antes de un examen.,It's normal to feel nervous before an exam.,,
208,el proyecto,Presentamos el proyecto final la próxima semana.,We present the final project next week.,,
209,la costa,Pasamos las vacaciones en la costa mediterránea.,We spent our vacation on the Mediterranean coast.,,
210,la capital,Madrid es la capital de España.,Madrid is the capital of Spain.,,
211,quizá,Quizá llueva esta tarde.,It might rain this afternoon.,,
212,estudioso,Mi hermana siempre fue muy estudiosa en el colegio.,My sister was always very studious in school.,,
213,el respeto,Los estudiantes deben mostrar respeto por sus profesores.,Students should show respect for their teachers.,,
214,formal,La boda fue un evento muy formal.,The wedding was a very formal event.,,
215,confiar,Confiaba en él ciegamente.,I used to trust him blindly.,Indicativo,Imperfecto
216,contrario,Hicimos todo lo contrario de lo que nos dijeron.,We did the complete opposite of what we were told.,,
217,dentro de,El vuelo sale dentro de dos horas.,The flight leaves within two hours.,,
218,el hambre,El programa lucha contra el hambre en el mundo.,The program fights hunger around the world.,,
219,el negocio,Abrieron un negocio de comida rápida.,They opened a fast food business.,,
220,enfermo,Mi hijo está enfermo y no fue a la escuela.,My son is sick and didn't go to school.,,
221,el material,Esta mesa está hecha de un material muy resistente.,This table is made of a very sturdy material.,,
222,muy bien,El proyecto salió muy bien al final.,The project turned out very well in the end.,,
223,el curso,Me inscribí en un curso de fotografía.,I enrolled in a photography course.,,
224,el error,Cometí un error grave en el informe.,I made a serious mistake in the report.,,
225,anunciar,El profesor anunciaba los exámenes con una semana de anticipación.,The teacher used to announce exams a week in advance.,Indicativo,Imperfecto
226,reservar,Yo siempre reservaba la misma habitación en ese hotel.,I always used to reserve the same room at that hotel.,Indicativo,Imperfecto
227,aparecer,"Ese fantasma aparecía solo de noche, según la leyenda.","That ghost used to appear only at night, according to the legend.",Indicativo,Imperfecto
228,charlar,Charlaban en el balcón todas las tardes.,They used to chat on the balcony every afternoon.,Indicativo,Imperfecto
229,el asiento,Reservé un asiento cerca de la ventana.,I reserved a seat near the window.,,
230,vivo,"Por suerte, el gato todavía está vivo.","Luckily, the cat is still alive.",,
231,el pago,El pago se debe hacer antes de fin de mes.,The payment must be made before the end of the month.,,
232,menor,Mi hermano menor tiene quince años.,My younger brother is fifteen years old.,,
233,el periodismo,Estudió periodismo porque le encanta escribir.,She studied journalism because she loves to write.,,
234,la actitud,Me gusta su actitud positiva ante los problemas.,I like her positive attitude toward problems.,,
235,batir,Él batía la mezcla durante diez minutos.,He used to beat the mixture for ten minutes.,Indicativo,Imperfecto
236,emocionado,Estoy muy emocionado por el viaje del próximo mes.,I'm very excited about next month's trip.,,
237,la regla,Hay una regla que prohíbe usar el celular en clase.,There's a rule that prohibits using the phone in class.,,
238,la herramienta,Necesito una herramienta para arreglar la bicicleta.,I need a tool to fix the bicycle.,,
239,lejos de,Vivimos lejos de la playa.,We live far from the beach.,,
240,las redes sociales,Pasa demasiado tiempo en las redes sociales.,He spends too much time on social media.,,
241,eficaz,Este medicamento es muy eficaz contra el dolor de cabeza.,This medicine is very effective against headaches.,,
242,suficiente,No tenemos suficiente dinero para el viaje.,We don't have enough money for the trip.,,
243,el acontecimiento,La boda fue el acontecimiento del año.,The wedding was the event of the year.,,
244,asegurar,Ella siempre aseguraba que todo estaba bajo control.,She always used to assure everyone that everything was under control.,Indicativo,Imperfecto
245,el éxito,El éxito de la empresa se debe a su equipo.,The company's success is due to its team.,,
246,responder,Ella siempre respondía con mucha calma.,She always used to answer very calmly.,Indicativo,Imperfecto
247,el taller,Llevé el coche al taller para repararlo.,I took the car to the workshop to have it repaired.,,
248,la factura,Recibí la factura del gas por correo.,I received the gas invoice by mail.,,
249,mezclar,Él mezclaba la pintura antes de cada cuadro.,He used to mix the paint before every painting.,Indicativo,Imperfecto
250,atrevido,Fue muy atrevido al hablar así con su jefe.,It was very daring of him to speak to his boss that way.,,
251,desafortunadamente,"Desafortunadamente, perdimos el vuelo.","Unfortunately, we missed the flight.",,
252,enfermarse,Se enfermaba cada vez que viajaba.,He used to get sick every time he traveled.,Indicativo,Imperfecto
253,fiel,Es un amigo muy fiel desde la infancia.,He's a very faithful friend since childhood.,,
254,diario,Hago ejercicio diario por las mañanas.,I exercise daily in the mornings.,,
255,celoso,Se pone celoso cuando hablo con otros chicos.,He gets jealous when I talk to other guys.,,
256,la amenaza,El huracán representa una amenaza para la costa.,The hurricane represents a threat to the coast.,,
257,igualmente,—Que tengas buen día. —Igualmente.,'Have a good day.' 'Likewise.',,
258,el ambiente,Debemos cuidar el ambiente para las futuras generaciones.,We must take care of the environment for future generations.,,
259,ausente,Estuvo ausente toda la semana por enfermedad.,He was absent all week due to illness.,,
260,el juguete,Le regalé un juguete nuevo a mi sobrino.,I gave my nephew a new toy.,,
261,ligero,Prefiero comer algo ligero antes de dormir.,I prefer to eat something light before sleeping.,,
262,la leyenda,Esa leyenda se cuenta desde hace siglos.,That legend has been told for centuries.,,
263,dudar,Ella dudaba de todo lo que le decían.,She used to doubt everything they told her.,Indicativo,Imperfecto
264,la señorita,La señorita García será nuestra nueva profesora.,Miss García will be our new teacher.,,
265,el recuerdo,Guardo un buen recuerdo de ese verano.,I keep a good memory of that summer.,,
266,conversar,Conversábamos por horas cuando éramos jóvenes.,We used to talk for hours when we were young.,Indicativo,Imperfecto
267,el comportamiento,Su comportamiento en clase mejoró mucho.,His behavior in class improved a lot.,,
268,reemplazar,Él reemplazaba las piezas rotas él mismo.,He used to replace the broken parts himself.,Indicativo,Imperfecto
269,rápidamente,Terminó la tarea rápidamente.,He finished the homework quickly.,,
270,el fuego,Encendieron una fogata con fuego de leña.,They lit a bonfire with wood fire.,,
271,el pasado,Prefiere no hablar de su pasado.,She prefers not to talk about her past.,,
272,el juez,El juez dictó sentencia esta mañana.,The judge issued a ruling this morning.,,
273,generoso,Fue muy generoso al donar tanto dinero.,He was very generous in donating so much money.,,
274,cómico,Ese programa de televisión es muy cómico.,That TV show is very funny.,,
275,el despertador,El despertador sonó a las seis de la mañana.,The alarm clock rang at six in the morning.,,
276,el castigo,Le dieron un castigo por llegar tarde.,They gave him a punishment for arriving late.,,
277,la receta,El médico me dio una receta para el dolor.,The doctor gave me a prescription for the pain.,,
278,exigir,Mi jefe siempre exigía puntualidad.,My boss always used to demand punctuality.,Indicativo,Imperfecto
279,disponible,¿Hay habitaciones disponibles para esta noche?,Are there rooms available for tonight?,,
280,el significado,No conozco el significado de esa palabra.,I don't know the meaning of that word.,,
281,tratar de,Ella trataba de terminar el proyecto sola.,She used to try to finish the project alone.,Indicativo,Imperfecto
282,la nacionalidad,¿Cuál es tu nacionalidad?,What is your nationality?,,
283,mudarse,Nos mudábamos de casa cada dos años cuando era niño.,We used to move house every two years when I was a kid.,Indicativo,Imperfecto
284,enfrentar,Él enfrentaba cada obstáculo con calma.,He used to face every obstacle calmly.,Indicativo,Imperfecto
285,robar,Ese ladrón robaba solo de noche.,That thief used to steal only at night.,Indicativo,Imperfecto
286,el compañero,Mi compañero de trabajo me ayudó con el proyecto.,My work companion helped me with the project.,,
287,soltero,Todavía está soltero a los treinta años.,He's still single at thirty.,,
288,apenas,Apenas dormí anoche.,I barely slept last night.,,
289,la pena,Es una pena que no puedas venir a la fiesta.,It's a shame you can't come to the party.,,
290,estupendo,Hiciste un trabajo estupendo en el proyecto.,You did a great job on the project.,,
291,claro,Sus instrucciones fueron muy claras.,His instructions were very clear.,,
292,despedir,Mi jefe anterior despedía a la gente sin previo aviso.,My previous boss used to fire people without warning.,Indicativo,Imperfecto
293,el camino,Tomamos el camino más corto a casa.,We took the shortest road home.,,
294,el grado,La temperatura bajó diez grados esta noche.,The temperature dropped ten degrees tonight.,,
295,genial,Fue una fiesta genial.,It was a great party.,,
296,ir a,Ella iba a la escuela caminando todos los días.,She used to walk to school every day.,Indicativo,Imperfecto
297,muchas gracias,Muchas gracias por tu ayuda con la mudanza.,Thank you very much for your help with the move.,,
298,fascinar,Esa serie me fascinaba cuando era joven.,That show used to fascinate me when I was young.,Indicativo,Imperfecto
299,respetar,Él respetaba mucho a sus maestros.,He used to respect his teachers a lot.,Indicativo,Imperfecto
300,quitarse,Se quitaba el abrigo apenas llegaba a la oficina.,She used to take off her coat as soon as she arrived at the office.,Indicativo,Imperfecto
301,la paz,Solo queremos vivir en paz.,We just want to live in peace.,,
302,el hecho,El hecho es que nadie llamó a tiempo.,The fact is that no one called on time.,,
303,interesar,Esa clase le interesaba mucho a mi hermano.,That class used to interest my brother a lot.,Indicativo,Imperfecto
304,cobrar,Ella cobraba menos por sus servicios antes.,She used to charge less for her services before.,Indicativo,Imperfecto
305,igual,Todos los empleados reciben un trato igual.,All employees receive equal treatment.,,
306,buenas tardes,"Buenas tardes, ¿en qué puedo ayudarle?","Good afternoon, how can I help you?",,
307,vago,Es demasiado vago para lavar los platos.,He's too lazy to wash the dishes.,,
308,la clave,La paciencia es la clave del éxito.,Patience is the key to success.,,
309,hermoso,El jardín se ve hermoso en primavera.,The garden looks beautiful in spring.,,
